Name	City	Country	Location	Link	International Payments	Food
Mumbais Fight Against COVID 19	Mumbai	India	Mumbai, India	https://fundraisers.giveindia.org/campaigns/mumbais-fight-against-covid19	Yes	Yes
Support COVID Hit Families	Delhi	India	Delhi, India	https://fundraisers.giveindia.org/campaigns/donate-so-daily-wage-earners-can-feed-their-families-mission-support-covid-hit-families?utm_source=Instagram&utm_campaign=dailywager-sm&utm_medium=Insta-profile-link&utm_term=dailywager-sm&utm_content=missionsupportcovid19hitfamilies	Yes	Yes
FeedIndia	Delhi	India	Delhi, India	https://www.feedingindia.org/donate	No	Yes
Foodbank NYC	New York City	United States of America	New York City, USA	https://www.foodbanknyc.org/covid-19/	Yes	Yes
TrusselTrust	London	United Kingdom	London, United Kingdom	https://www.trusselltrust.org/make-a-donation/#single	Maybe	Yes
Caritas Italiana	Rome	Italy	Rome, Italy	https://www.caritas.it/home_page_archivio/come_contribuire/00003068_Donazioni_online.html	Maybe	Yes
Northern Illinois Food Bank	Chicago	United States of America	Chicago, USA	https://secure3.convio.net/nifb/site/Donation2;jsessionid=00000000.app30132b?df_id=5723&mfc_pref=T&5723.donation=form1&NONCE_TOKEN=F3C816FBA55CBE183126159AD9C3221D	Maybe	Yes
California Association of Food Banks	Los Angeles	United States of America	Los Angeles, USA	https://donatenow.networkforgood.org/1407080	Maybe	Yes
Feeding America	Washington D.C	United States of America	Washington D.C, USA	https://www.feedingamerica.org/take-action/coronavirus	Maybe	Yes
Idaho Foodbank	Idaho, USA	United States of America	Idaho, USA	https://idahofoodbank.org/coronavirus-response-news-and-updates/	Maybe	Yes
Community Food Bank of New Jersey	New Jersey	United States of America	New Jersey, USA	https://cfbnj.org/coronavirus	Maybe	Yes
SaveOurFaves	San Francisco	United States of America	San Francisco, USA	https://saveourfaves.org/	Maybe	Yes
Bailout.NYC	New York City	United States of America	New York City, USA	https://bailout.nyc/	Maybe	No
Edmonton FoodBank	Edmonton	Canada	Edmonton, Canada	https://www.edmontonsfoodbank.com/	Maybe	Yes
Banc Dels Aliments	Barcelona	Spain	Barcelona, Spain	https://www.bancdelsaliments.org/es/home/	Maybe	Yes
Banco De Alimentos De Madrid	Madrid	Spain	Madrid, Spain	https://bam.civi-go.net/donacion-online	Maybe	Yes
Banco De Alimentos De Seville	Seville	Spain	Seville, Spain	https://www.bancodealimentosdesevilla.org/	Maybe	Yes
Banco De Alimentos De Valencia	Valencia	Spain	Valencia, Spain	http://bancodealimentosdevalencia.org/	Maybe	Yes
Banco De Alimentos De Granada	Granada	Spain	Granada, Spain	https://www.bancoalimentosgranada.org/	Maybe	Yes
Banco Alimetar Lisboa	Lisbon	Portugal	Lisbon, Portugal	https://www.bancoalimentar.pt/faca-um-donativo/	Maybe	Yes
Foo Forward South Africa	Cape Town	South Africa	Cape Town, South Africa	https://foodforwardsa.org/	Maybe	Yes
Lagos Food Bank	Lagos	Nigeria	Lagos, Nigeria	https://www.lagosfoodbank.org/	Maybe	Yes
Food Bank of North East Georgia	Athens, Georgia	United States of America	Athens, Georgia, USA	https://foodbanknega.org/	Maybe	Yes
Berliner Tafel	Berlin	Germany	Berlin, Germany	https://www.berliner-tafel.de/berliner-tafel/	Maybe	Yes
Munchner Tafel	Munich	Germany	Munich, Germany	https://muenchner-tafel.de/	Maybe	Yes
Frankfurter Tafel	Frankfurt	Germany	Frankfurt, Germany	https://www.frankfurter-tafel.de/	Maybe	Yes
Hamburger Tafel	Hamburg	Germany	Hamburger, Tafel	https://hamburger-tafel.de/	Maybe	Yes
Seoul Food Bank	Seoul	South Korea	Seoul, South Korea	http://s-foodbank.or.kr/2014/html/main/	Maybe	Yes
Rizq	Lahore	Pakistan	Lahore, Pakistan	https://sharerizq.com/	Maybe	Yes
Banque Alimentaire Paris	Paris	France	Paris, France	https://www.bapif.fr/public2/public_accueil.php	Maybe	Yes
Banque Alimentaire Du Rhone	Lyon	France	Lyon, France	https://ba69.banquealimentaire.org/	Maybe	Yes
